strain	virus	accession	date	region	country	segment	host	virus_type	originating_lab	submitting_lab	authors	url	title	journal	paper_url
A001	sarslike	FJ959407	?	China	China	genome	Civet	SARS-CoV-1	?	?	Wang et al	https://www.ncbi.nlm.nih.gov/nuccore/FJ959407	The isolation and genome analysis of a SARS coronavirus from palm civet	Unpublished	?
As6526	sarslike	KY417142	2014-05-12	China	China	genome	Bat	SARS-like CoV	?	?	Hu et al	https://www.ncbi.nlm.nih.gov/nuccore/KY417142	Discovery of a rich gene pool of bat SARS-related coronaviruses provides new insights into the origin of SARS coronavirus	PLoS Pathog. 13 (11), e1006698 (2017)	?
bat_SL_CoVZC45	sarslike	MG772933	2017-02-XX	China	China	genome	Bat	SARS-like CoV	?	?	Hu et al	https://www.ncbi.nlm.nih.gov/nuccore/MG772933	Genomic Characterization and Infectivity of A Novel SARS-like coronavirus in Chinese Bats	Unpublished	?
bat_SL_CoVZXC21	sarslike	MG772934	2015-07-XX	China	China	genome	Bat	SARS-like CoV	?	?	Hu et al	https://www.ncbi.nlm.nih.gov/nuccore/MG772934	Genomic Characterization and Infectivity of A Novel SARS-like coronavirus in Chinese Bats	Unpublished	?
bat/Yunnan/RaTG13/2013	sarslike	EPI_ISL_402131	2013-07-24	China	China	genome	Bat	SARS-like CoV	?	?	Zhu et al	?	?	?	?
BJ01	sarslike	AY278488	2003-XX-XX	China	China	genome	Human	SARS-CoV-1	?	?	Wu et al	https://www.ncbi.nlm.nih.gov/nuccore/AY278488	The E protein is a multifunctional membrane protein of SARS-CoV	Genomics Proteomics Bioinformatics 1 (2), 131-144 (2003)	?
BJ02	sarslike	AY278487	2003-XX-XX	China	China	genome	Human	SARS-CoV-1	?	?	Wu et al	https://www.ncbi.nlm.nih.gov/nuccore/AY278487	The E protein is a multifunctional membrane protein of SARS-CoV	Genomics Proteomics Bioinformatics 1 (2), 131-144 (2003)	?
BJ04	sarslike	AY279354	2003-XX-XX	China	China	genome	Human	SARS-CoV-1	?	?	Wu et al	https://www.ncbi.nlm.nih.gov/nuccore/AY279354	The E protein is a multifunctional membrane protein of SARS-CoV	Genomics Proteomics Bioinformatics 1 (2), 131-144 (2003)	?
BJ182_4	sarslike	EU371562	?	?	Na	genome	Unknown	SARS-CoV-1	?	?	Bao et al	https://www.ncbi.nlm.nih.gov/nuccore/EU371562	Direct Submission	Submitted (04-JAN-2008) Wenzhou Medical College, Institute of Biomedical Informatics, Wenzhou 325000, Zhejiang, China	?
BtCoV/279/2005	sarslike	DQ648857	?	?	Na	genome	Unknown	SARS-like CoV	?	?	Tang et al	https://www.ncbi.nlm.nih.gov/nuccore/DQ648857	Prevalence and genetic diversity of coronaviruses in bats from China	J. Virol. 80 (15), 7481-7490 (2006)	?
BtKY72	sarslike	KY352407	2007-08-XX	Africa	Kenya	genome	Bat	SARS-like CoV	?	?	Tao et al	https://www.ncbi.nlm.nih.gov/nuccore/KY352407	Complete genome sequence of a SARS-related coronavirus in Kenyan bats	Unpublished	?
CFB/SZ/94/03	sarslike	AY545919	2003-XX-XX	China	China	genome	Badger	SARS-like CoV	?	?	Guan et al	https://www.ncbi.nlm.nih.gov/nuccore/AY545919	An Averted SARS Outbreak?	Unpublished	?
civet007	sarslike	AY572034	2004-XX-XX	China	China	genome	Civet	SARS-CoV-1	?	?	Wang et al	https://www.ncbi.nlm.nih.gov/nuccore/AY572034	SARS-CoV infection in a restaurant from palm civet	Emerging Infect. Dis. 11 (12), 1860-1865 (2005)	?
